項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,裕毛屋企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020242142號書函,102年8月9日
1,裕毛屋企業股份有限公司,第32條第2項,延長工作時間超過法令規定。,府勞動字第1020242142號書函,102年8月9日
1,裕毛屋企業股份有限公司,第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020242142號書函,102年8月9日
1,裕毛屋企業股份有限公司,第38條,未依規定給予特別休假。,府勞動字第1020242142號書函,102年8月9日
1,裕毛屋企業股份有限公司,第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020242142號書函,102年8月9日
2,永豐餘工業用紙股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020243361號書函,102年8月9日
3,台中商業銀行股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020239776號書函,102年8月9日
4,昭輝實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020253904號書函,102年8月19日
5,玉臻食品有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1020253720號書函,102年8月19日
5,玉臻食品有限公司,第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020253720號書函,102年8月19日
6,于玖機械有限公司,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020253812號書函,102年8月20日
7,財團法人彰化縣私立基督教喜樂保育院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020256283號書函,102年8月20日
8,彰化縣私立吉祥老人養護中心,勞基法第24,延長工作時間未依規定加給工資。,府勞動字第1020264625號書函,102年8月21日
8,彰化縣私立吉祥老人養護中心,36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020264625號書函,102年8月21日
9,大暐有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020259679號書函,102年8月27日
10,舜大食品企業有限公司,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020262393號書函,102年8月28日
11,鋐洲有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020265881號書函,102年8月28日
12,建大工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020265706號書函,102年8月29日
13,鑫洲科技工程有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020267543號書函,102年9月2日
14,紅吉家具工廠,勞基法第21條,低於基本工資。,府勞動字第1020267854號書函,102年9月2日
14,紅吉家具工廠,第30條5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020267854號書函,102年9月2日
15,偉方精密工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020268527號書函,102年9月3日
15,偉方精密工業股份有限公司,第32條第2項,延長工作時間超過法令規定。,府勞動字第1020268527號書函,102年9月3日
16,金三菱塑膠股份有限公司,勞基法第21,低於基本工資。,府勞動字第1020270796號書函,102年9月4日
16,金三菱塑膠股份有限公司,30條,未依規定置備勞工出勤紀錄表。,府勞動字第1020270796號書函,102年9月4日
17,良飛工業有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020272691號書函,102年9月4日
18,昌碩股份有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1020272138號書函,102年9月4日
18,昌碩股份有限公司,第22條,未依規定工資應全額直接給付勞工。,府勞動字第1020272138號書函,102年9月4日
19,國慶化學股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020275459號書函,102年9月9日
20,益正紡織股份有限公司,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020277234號,102年9月10日
21,建宇茶行,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020284051號書函,102年9月12日
22,林越網版刷品有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020282552號書函,102年9月12日
22,林越網版刷品有限公司,第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020282552號書函,102年9月12日
23,巨匠電腦股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020281188號書函,102年9月13日
23,巨匠電腦股份有限公司,第32條第2項,延長工作時間超過法令規定。,府勞動字第1020281188號書函,102年9月13日
24,永泰精密科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020280917號書函,102年9月13日
25,世家食坊,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020288289號書函,102年9月14日
26,晉櫻科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020282625號書函,102年9月14日
26,晉櫻科技股份有限公司,第59條,未依規定補償職災勞工原領工資,府勞動字第1020282625號書函,102年9月14日
27,岱宇國際股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020292270號書函,102年9月23日
28,航翊科技股份有限公司,勞基法第22條,未依規定工資應全額直接給付勞工。,府勞動字第1020295441號書函,102年9月24日
28,航翊科技股份有限公司,第38條,未依規定給予特別休假。,府勞動字第1020295441號書函,102年9月24日
29,寶緯工業股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020294647號書函,102年9月25日
30,永豐餘工業用紙股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020298702號書函,102年10月1日
31,兆豐國際商業銀行股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020299915號書函,102年10月2日
32,旭億實業股份有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1020302044號書函,102年10月2日
33,溫莎堡西點麵包店,勞基法第21條第1項,低於基本工資。,府勞動字第1020307695號書函,102年10月8日
34,財團法人彰化縣私立珍瑩老人養護中心,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020300623號書函,102年10月8日
35,晟進科技股份有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020307486號書函,102年10月8日
35,晟進科技股份有限公司,第24條,延長工作時間未依規定加給工資。,府勞動字第1020307486號書函,102年10月8日
36,品勝實業股份有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020309277號書函,102年10月9日
37,魔菇部落休閒農場,勞基法第23條第1項,工資未按月給付,府勞動字第1020307957號書函,102年10月9日
38,成興彈簧企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020310634號書函,102年10月9日
39,采熙瘦身美容館,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020310896號書函,102年10月11日
39,采熙瘦身美容館,第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020310896號書函,102年10月11日
40,裕毛屋企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020316586號書函,102年10月14日
40,裕毛屋企業股份有限公司,第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020316586號書函,102年10月14日
41,三五橡膠廠股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020317566號書函,102年10月15日
42,員林玉品香,勞基法第21條,低於基本工資。,府勞動字第1020324256號書函,102年10月18日
43,台菘混凝土有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020325309號書函,102年10月21日
43,台菘混凝土有限公司,第32條第2項,延長工作時間超過法令規定。,府勞動字第1020325309號書函,102年10月21日
43,台菘混凝土有限公司,第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020325309號書函,102年10月21日
43,台菘混凝土有限公司,第38條,未依規定給予特別休假。,府勞動字第1020325309號書函,102年10月21日
43,台菘混凝土有限公司,第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020325309號書函,102年10月21日
44,台灣玻璃股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020326613號書函,102年10月22日
45,道周醫療社團法人道周醫院,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020324684號書函,102年10月22日
46,禾茂工業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第102032467號書函,102年10月23日
47,永豐餘工業用紙股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020329760號書函,102年10月28日
48,王增發,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020333818號書函,102年10月29日
49,經濟部工業局彰濱工業區服務中心,勞基法第32條第3項,天災、事變或突發事件，將延長工時未依規定24小時通報主管機關,府勞動字第1020335121號書函,102年10月31日
50,維王羽毛廠股份有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020338213號書函,102年10月31日
