項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,正新橡膠工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第10201950885號書函,102年7月3日
2,景利實業股份有限公司,勞基法第43條,請假未依規定給薪。,府勞動字第1020210568號書函,102年7月15日
3,品嘉保麗龍有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1020213753號書函,102年7月16日
4,台灣鋼聯股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020213025號書函,102年7月16日
5,能群企業股份有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1020213561號書函,102年7月16日
6,美達利毛撣股份有限公司,勞基法第21條第1項、第24條,低於基本工資。延長工作時間未依規定加給工資。,府勞動字第1020218382號書函,102年7月18日
7,雅昌實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020217569號書函,102年7月23日
8,恒美化工股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020223778號書函,102年7月24日
9,歐可林股份有限公司,勞基法第9條第1項、第24條,勞動契約型態違反。延長工作時間未依規定加給工資。,府勞動字第1020227498號書函,102年7月25日
10,劦佑機械股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020227765號書函,102年7月26日
11,林明壽（即鼎信聯合會計師事務所彰化分所）,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020228210號書函,102年7月26日
12,裕毛屋企業股份有限公司,勞基法第24條、第32條第2項、第36條、第38條、第39條,延長工作時間未依規定加給工資。延長工作時間超過法令規定。未依規定每七日中未有一日之休息作為例假。未依規定給予特別休假。假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020242142號書函,102年8月9日
13,永豐餘工業用紙股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020243361號書函,102年8月9日
14,台中商業銀行股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020239776號書函,102年8月9日
15,昭輝實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020253904號書函,102年8月19日
16,玉臻食品有限公司,勞基法第21條第1項、第30條第5項,低於基本工資。未依規定置備勞工出勤紀錄表。,府勞動字第1020253720號書函,102年8月19日
17,于玖機械有限公司,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020253812號書函,102年8月20日
18,財團法人彰化縣私立基督教喜樂保育院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020256283號書函,102年8月20日
19,彰化縣私立吉祥老人養護中心,勞基法第24、36條,延長工作時間未依規定加給工資。未依規定每七日中未有一日之休息作為例假。,府勞動字第1020264625號書函,102年8月21日
20,大暐有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1020259679號書函,102年8月27日
21,舜大食品企業有限公司,勞基法第59條,未依規定補償職災勞工原領工資,府勞動字第1020262393號書函,102年8月28日
22,鋐洲有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020265881號書函,102年8月28日
23,建大工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020265706號書函,102年8月29日
