項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,鵝牌萬容有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020338174號,102年11月4日
2,進南貨運股份有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020344433號,102年11月5日
3,綠生活米行,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020342793號,102年11月5日
3,綠生活米行,勞基法第38條,未依規定給予特別休假。,府勞動字第1020342793號,102年11月5日
4,裕毛屋企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020358899號,102年11月18日
4,裕毛屋企業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020358899號,102年11月18日
4,裕毛屋企業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020358899號,102年11月18日
5,集光能源科技有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1020360510號,102年11月18日
6,勝谷實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020353837號,102年11月18日
7,世誠營造股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020364793號,102年11月22日
7,世誠營造股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020364793號,102年11月22日
8,大統長基食品廠股份有限公司,勞基法第22條,未依規定工資應全額直接給付勞工。,府勞動字第1020374200號,102年11月28日
8,大統長基食品廠股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1020374200號,102年11月28日
8,大統長基食品廠股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020374200號,102年11月28日
8,大統長基食品廠股份有限公司,勞基法第70條,僱用30人以上未報備工作規則,府勞動字第1020374200號,102年11月28日
9,彰化基督教醫療財團法人彰化基督教醫院,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1020375049號,102年11月29日
10,慶豐富實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1020373116號,102年11月29日
10,慶豐富實業股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1020373116號,102年11月29日
