事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
永美汽車股份有限公司,勞基法第27條,違反限期給付工資之命令,府社勞字第1003034719號函,100年8月17日
章群企業有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1000094942號函,100年9月27日
台灣斯巴克環保工程股份有限公司,勞基法第36條,每7日中未有1日作為例假,府社勞字第1000110159號函,100年10月5日
欣亞數位股份有限公司,勞基法第22條第2項,工資未全額給付給勞工,府社勞字第1003050566號函,100年11月25日
里仁事業股份有限公司,勞基法第21條第1項,未達基本工資,府社勞字第1010029406號函,101年2月29日
瑞潔環保企業行,勞基法第36條,每7日中未有1日作為例假,府社勞字第1010032446號函,101年3月2日
三博大飯店有限公司,勞基法第39條,假日工資未依規定加倍給予,府社勞字第1010052763號函,101年4月2日
得恩環境事業有限公司,勞基法第22條第2項,工資未全額給付給勞工,府社勞字第1010065007號函,101年4月19日
台東縣私立豐禾老人養護中心,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010080881號函,101年5月8日
逸軒大飯店企業股份有限公司,勞基法第39條,假日工資未依規定加倍給予,府社勞字第1010088890號函,101年5月24日
馬偕紀念醫院台東分院,勞基法第36條,每7日中未有1日作為例假,府社勞字第1010088846號函,101年5月24日
行政院衛生署台東醫院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010090874號函,101年5月28日
行政院衛生署台東醫院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010112351號函,101年7月9日
大潤發流通事業股份有限公司台東分公司,勞基法第24條、32條第2項,延長工作時間未依規定加給工資、延長工作時間超過法令規定,府社勞字第1010115841號函,101年7月9日
瑞晟砂石有限公司,勞基法第36條,每7日中未有1日作為例假,府社勞字第1010125863號函,101年7月10日
好茶多冷飲店,勞基法第30條第5項、第36條,未依規定置備勞工出勤紀錄表、每7日中未有1日作為例假,府社勞字第1010125501號函,101年7月12日
台東榮民醫院,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010119437號函,101年8月17日
長宏行,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010142227號函,101年8月1日
正一包飯,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010148807號函,101年8月23日
得眾環境科技有限公司,勞基法第27條,違反限期給付工資之命令,府社勞字第1010165604號函,101年9月14日
馬蘭榮家附設慎修養護中心,勞基法第21條第1項、第39條,未達基本工資、假日工資未依規定加倍給予,府社勞字第1010168702號函,101年9月17日
永樂國際實業股份有限公司,勞基法第22條第2項、第38條、第39條,工資未全額給付給勞工、未依規定給予特別休假、假日工資未依規定加倍給予,府社勞字第1010165598號函,101年9月18日
全有企業社,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010170991號函,101年9月19日
辰佑行,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010170876號函,101年9月19日
十全餐旅有限公司,勞基法第21條第1項,未達基本工資,府社勞字第1010170951號函,101年9月19日
上林食品行,勞基法第21條第1項,未達基本工資,府社勞字第1010170907號函,101年9月19日
兆生商行,勞基法第21條第1項,未達基本工資,府社勞字第1010178005號函,101年9月25日
太麻里城堡溫泉會館股份有限公司,勞基法第22條第2項、第36條,工資未全額給付給勞工、每7日中未有1日作為例假,府社勞字第1010170704號函,101年9月24日
鵬燁實業有限公司,勞基法第80條,拒絕、規避或阻撓檢查,府社勞字第1010182567號函,101年9月27日
長欣通信行,勞基法第24條,延長工作時間未依規定加給工資,府社勞字第1010185454號函,101年10月8日
國泰世華商業銀行股份有限公司台東分公司,勞基法第24條,延長工作時間未依規定加給工資,府社勞字第1010184581號函,101年10月8日
艾薇塔餐坊,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010199568,101年10月25日
大車輪小吃部,勞基法第36條,每7日中未有1日作為例假,府社勞字第1010207908,101年11月7日
