項次,事業單位名稱（負責人姓名）,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,國泰人壽保險股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020182149號函,102年9月26日,訴願駁回
2,台灣妙管家股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020185676號函,102年10月4日,訴願駁回
2,台灣妙管家股份有限公司,勞動基準法第24條,依規定加給延長工時工資,府授勞動字第1020185676號函,102年10月4日,訴願駁回
3,建明汽車客運股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020239326號函,102年10月14日,訴願駁回
4,國泰人壽保險股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020202359號函,102年10月24日,訴願駁回
5,東南汽車客運股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020209100號函,102年10月31日,訴願駁回
6,豐原汽車客運股份有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1020228806號函,102年11月26日,訴願駁回
7,豐原汽車客運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020248410號函,102年12月23日,訴願駁回
7,豐原汽車客運股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1020248410號函,102年12月23日,訴願駁回
8,嘉里大榮物流股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030037286號函,103年3月4日,　
9,台中汽車客運股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030037491號函,103年3月4日,　
10,虹翔保全股份有限公司,勞動基準法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1030040347號函,103年3月10日,　
10,虹翔保全股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030040347號函,103年3月10日,　
10,虹翔保全股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030040347號函,103年3月10日,　
11,程閔哲即寶信會計師事務所,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030042665號函,103年3月12日,　
11,程閔哲即寶信會計師事務所,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030042665號函,103年3月12日,　
11,程閔哲即寶信會計師事務所,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030042665號函,103年3月12日,　
12,統一速達股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030043164號函,103年3月12日,　
13,清義汽車貨運有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030048158號函,103年3月18日,　
14,井上燒鍋店,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030049361號函,103年3月20日,　
15,惠康百貨股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030050008號函,103年3月20日,　
