項次,事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
1,英美語言訓練股份有限公司,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第1010203557號,101.11.19
2,大鼎能源股份有限公司,勞基法第22條第2項、第24條、第32條第2項,工資未全額直接給付勞工、延長工作時間未依規定加給工資、延長工作時間超過法令規定,府授勞動字第1010222183號,101.12.11
3,仁友汽車客運股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府授勞動字第1020080174號,102.5.7
4,佑品實業有限公司,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第1020080431號,102.5.13
5,蔡瑩瑩,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第1020081261號,102.5.13
6,威龍保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府授勞動字第1020085092號,102.5.17
7,台灣國際皇家保全股份有限公司,勞基法第21條第1項,未達基本工資,府授勞動字第1020085099號,102.5.17
8,維新保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,府授勞動字第1020089311號,102.5.23
9,台灣國際皇家保全股份有限公司,勞動基準法第24條、第32條第2項,延長工作時間未依規定加給工資、延長工作時間超過法令規定,府授勞動字第1020089791號,102.5.24
10,嘉里大榮物流股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄,府授勞動字第1020089116號,102.5.28
