序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,326,56,17.2%
2,友達光電股份有限公司,新竹市,D,205,40,19.5%
3,聯華電子股份有限公司,新竹市,D,122,34,27.9%
4,力晶科技股份有限公司,新竹市,D,42,30,71.4%
5,長榮航空股份有限公司,桃園縣,D,49,26,53.1%
6,台灣麥當勞餐廳股份有限公司,臺北市,D,32,25,78.1%
7,南茂科技股份有限公司,新竹縣,D,46,25,54.3%
8,力成科技股份有限公司,新竹縣,D,46,21,45.7%
9,隆達電子股份有限公司,新竹市,D,22,16,72.7%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,長榮航太科技股份有限公司,桃園縣,D,23,14,60.9%
12,渣打國際商業銀行股份有限公司,新竹市,D,41,14,34.1%
13,遠東國際商業銀行股份有限公司,臺北市,D,25,13,52.0%
14,中龍鋼鐵股份有限公司,臺中市,D,29,13,44.8%
15,台灣大哥大股份有限公司,臺北市,D,27,13,48.1%
16,華邦電子股份有限公司,臺中市,D,19,12,63.2%
17,元大商業銀行股份有限公司,臺北市,D,25,12,48.0%
18,臺灣新光商業銀行股份有限公司,臺北市,D,34,12,35.3%
19,華碩電腦股份有限公司,臺北市,D,43,11,25.6%
20,花旗（台灣）商業銀行股份有限公司,臺北市,D,48,11,22.9%
21,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
22,萬寶華企業管理顧問股份有限公司,臺北市,D,27,10,37.0%
23,主富服裝股份有限公司,臺北市,D,15,10,66.7%
24,鉅晶電子股份有限公司,新竹市,D,14,9,64.3%
25,玉山商業銀行股份有限公司,臺北市,D,23,9,39.1%
26,敬鵬工業股份有限公司,桃園縣,D,38,8,21.1%
27,南亞電路板股份有限公司錦興廠,桃園縣,D,62,8,12.9%
28,東方美企業股份有限公司,高雄市,D,10,8,80.0%
29,研華股份有限公司,臺北市,D,21,8,38.1%
30,華資粧業股份有限公司,新北市,D,18,8,44.4%
31,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,8,72.7%
32,微星科技股份有限公司,新北市,D,20,8,40.0%
33,中華國際黃頁股份有限公司,臺北市,D,10,8,80.0%
34,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,30,8,26.7%
35,光寶科技股份有限公司,新北市,D,19,7,36.8%
36,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
37,三商行股份有限公司,臺北市,D,35,7,20.0%
38,趨勢科技股份有限公司,臺北市,D,12,7,58.3%
39,藝珂人事顧問股份有限公司,臺北市,D,28,7,25.0%
40,香港商瑞健股份有限公司台灣分公司,桃園縣,D,15,7,46.7%
41,富士康國際股份有限公司,新北市,D,15,7,46.7%
42,長榮海運股份有限公司,臺北市,D,12,6,50.0%
43,新日興股份有限公司,新北市,D,11,6,54.5%
44,台塑石化股份有限公司,雲林縣,D,51,6,11.8%
45,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,6,35.3%
46,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
47,聚成科技股份有限公司,新竹市,D,8,6,75.0%
48,台灣富士全錄股份有限公司,臺北市,D,9,6,66.7%
49,上海商業儲蓄銀行股份有限公司,臺北市,D,22,6,27.3%
50,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
51,遠雄人壽保險事業股份有限公司,臺北市,D,14,6,42.9%
52,台灣高速鐵路股份有限公司,臺北市,D,32,6,18.8%
53,三信商業銀行股份有限公司,臺中市,D,11,6,54.5%
54,遠東航空股份有限公司,臺北市,D,5,5,100.0%
55,中華航空股份有限公司,桃園縣,D,63,5,7.9%
56,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
57,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
58,台灣應用材料股份有限公司,新竹縣,D,7,5,71.4%
59,和碩聯合科技股份有限公司,臺北市,D,51,5,9.8%
60,聯景光電股份有限公司,桃園縣,D,10,5,50.0%
61,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,7,5,71.4%
62,太平洋崇光百貨股份有限公司,臺北市,D,10,5,50.0%
