序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,302,107,35.4%
2,友達光電股份有限公司,新竹市,D,191,71,37.2%
3,聯華電子股份有限公司,新竹市,D,119,59,49.6%
4,力晶科技股份有限公司,新竹市,D,43,34,79.1%
5,力成科技股份有限公司,新竹縣,D,48,26,54.2%
6,南茂科技股份有限公司,新竹縣,D,46,25,54.3%
7,長榮航空股份有限公司,桃園縣,D,46,24,52.2%
8,仁寶電腦工業股份有限公司,桃園縣,D,50,18,36.0%
9,花旗（台灣）商業銀行股份有限公司,臺北市,D,49,17,34.7%
10,三商行股份有限公司,臺北市,D,34,17,50.0%
11,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
12,台灣高速鐵路股份有限公司,臺北市,D,32,16,50.0%
13,長榮航太科技股份有限公司,桃園縣,D,22,15,68.2%
14,遠東國際商業銀行股份有限公司,臺北市,D,25,15,60.0%
15,華邦電子股份有限公司,臺中市,D,20,14,70.0%
16,台灣麥當勞餐廳股份有限公司,臺北市,D,22,13,59.1%
17,華碩電腦股份有限公司,臺北市,D,39,13,33.3%
18,吉宏興業有限公司,雲林縣,D,17,13,76.5%
19,台塑石化股份有限公司,雲林縣,D,48,12,25.0%
20,渣打國際商業銀行股份有限公司,新竹市,D,38,12,31.6%
21,中龍鋼鐵股份有限公司,臺中市,D,29,12,41.4%
22,隆達電子股份有限公司,新竹市,D,22,11,50.0%
23,元大商業銀行股份有限公司,臺北市,D,25,11,44.0%
24,藝珂人事顧問股份有限公司,臺北市,D,26,11,42.3%
25,瀚宇彩晶股份有限公司,臺北市,D,25,11,44.0%
26,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,10,58.8%
27,鉅晶電子股份有限公司,新竹市,D,14,10,71.4%
28,台灣大哥大股份有限公司,臺北市,D,26,10,38.5%
29,主富服裝股份有限公司,臺北市,D,14,10,71.4%
30,星展〈台灣〉商業銀行股份有限公司,臺北市,D,13,10,76.9%
31,勤業眾信聯合會計師事務所（黃樹傑會計師）,臺北市,D,32,10,31.3%
32,臺灣新光商業銀行股份有限公司,臺北市,D,34,10,29.4%
33,研華股份有限公司,臺北市,D,20,9,45.0%
34,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
35,玉山商業銀行股份有限公司,臺北市,D,20,9,45.0%
36,新竹物流股份有限公司,新竹縣,D,29,8,27.6%
37,南亞電路板股份有限公司錦興廠,桃園縣,D,62,8,12.9%
38,南亞科技股份有限公司三廠,新北市,D,23,8,34.8%
39,和碩聯合科技股份有限公司,臺北市,D,48,8,16.7%
40,東方美企業股份有限公司,高雄市,D,10,8,80.0%
41,華資粧業股份有限公司,新北市,D,17,8,47.1%
42,遠雄人壽保險事業股份有限公司,臺北市,D,13,8,61.5%
43,長榮海運股份有限公司,臺北市,D,12,7,58.3%
44,英業達股份有限公司,臺北市,D,17,7,41.2%
45,介面光電股份有限公司,桃園縣,D,26,7,26.9%
46,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
47,永碩聯合國際股份有限公司,臺北市,D,12,7,58.3%
48,上海商業儲蓄銀行股份有限公司,臺北市,D,23,7,30.4%
