序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,友達光電股份有限公司,新竹市,D,202,73,36.1%
2,台灣積體電路製造股份有限公司,新竹市,D,318,65,20.4%
3,力晶科技股份有限公司,新竹市,D,42,32,76.2%
4,長榮航空股份有限公司,桃園縣,D,46,25,54.3%
5,南茂科技股份有限公司,新竹縣,D,44,23,52.3%
6,力成科技股份有限公司,新竹縣,D,44,23,52.3%
7,聯華電子股份有限公司,新竹市,D,121,20,16.5%
8,台灣麥當勞餐廳股份有限公司,臺北市,D,24,18,75.0%
9,三商行股份有限公司,臺北市,D,35,16,45.7%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,隆達電子股份有限公司,新竹市,D,23,15,65.2%
12,渣打國際商業銀行股份有限公司,新竹市,D,41,14,34.1%
13,台灣大哥大股份有限公司,臺北市,D,27,14,51.9%
14,長榮航太科技股份有限公司,桃園縣,D,23,13,56.5%
15,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,13,27.7%
16,中龍鋼鐵股份有限公司,臺中市,D,29,13,44.8%
17,臺灣新光商業銀行股份有限公司,臺北市,D,33,13,39.4%
18,華邦電子股份有限公司,臺中市,D,19,12,63.2%
19,元大商業銀行股份有限公司,臺北市,D,25,12,48.0%
20,遠東國際商業銀行股份有限公司,臺北市,D,25,12,48.0%
21,鉅晶電子股份有限公司,新竹市,D,14,11,78.6%
22,主富服裝股份有限公司,臺北市,D,15,11,73.3%
23,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
24,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,9,52.9%
25,研華股份有限公司,臺北市,D,20,9,45.0%
26,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
27,玉山商業銀行股份有限公司,臺北市,D,21,9,42.9%
28,藝珂人事顧問股份有限公司,臺北市,D,29,9,31.0%
29,萬寶華企業管理顧問股份有限公司,臺北市,D,26,9,34.6%
30,華碩電腦股份有限公司,臺北市,D,41,8,19.5%
31,東方美企業股份有限公司,高雄市,D,10,8,80.0%
32,南亞電路板股份有限公司錦興廠,桃園縣,D,62,7,11.3%
33,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
34,華資粧業股份有限公司,新北市,D,17,7,41.2%
35,微星科技股份有限公司,新北市,D,20,7,35.0%
36,瀚宇彩晶股份有限公司,臺北市,D,23,7,30.4%
37,富士康國際股份有限公司,新北市,D,15,7,46.7%
38,長榮海運股份有限公司,臺北市,D,12,6,50.0%
39,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
40,上海商業儲蓄銀行股份有限公司,臺北市,D,22,6,27.3%
41,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
42,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
43,趨勢科技股份有限公司,臺北市,D,11,6,54.5%
44,遠雄人壽保險事業股份有限公司,臺北市,D,12,6,50.0%
45,達鴻先進科技股份有限公司,新竹縣,D,10,6,60.0%
46,香港商瑞健股份有限公司台灣分公司,桃園縣,D,14,6,42.9%
47,璨圓光電股份有限公司,桃園縣,D,9,6,66.7%
48,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,6,100.0%
49,中華國際黃頁股份有限公司,臺北市,D,8,6,75.0%
50,台灣玻璃工業股份有限公司新竹廠,新竹市,D,10,5,50.0%
51,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
52,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
53,新日興股份有限公司,新北市,D,10,5,50.0%
54,光寶科技股份有限公司,新北市,D,18,5,27.8%
55,台塑石化股份有限公司,雲林縣,D,50,5,10.0%
56,台灣應用材料股份有限公司,新竹縣,D,7,5,71.4%
57,遠傳電信股份有限公司,臺北市,D,51,5,9.8%
58,昱晶能源科技股份有限公司台北分公司,臺北市,D,7,5,71.4%
