序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,聯華電子股份有限公司,新竹市,D,123,31,25.2%
2,力晶科技股份有限公司,新竹市,D,41,31,75.6%
3,長榮航空股份有限公司,桃園縣,D,50,27,54.0%
4,南茂科技股份有限公司,新竹縣,D,45,23,51.1%
5,台灣麥當勞餐廳股份有限公司,臺北市,D,31,20,64.5%
6,力成科技股份有限公司,新竹縣,D,46,19,41.3%
7,三商行股份有限公司,臺北市,D,53,18,34.0%
8,台灣大哥大股份有限公司,臺北市,D,29,17,58.6%
9,隆達電子股份有限公司,新竹市,D,22,16,72.7%
10,渣打國際商業銀行股份有限公司,新竹市,D,41,16,39.0%
11,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
12,元大商業銀行股份有限公司,臺北市,D,25,13,52.0%
13,遠東國際商業銀行股份有限公司,臺北市,D,25,13,52.0%
14,台灣積體電路製造股份有限公司,新竹市,D,336,12,3.6%
15,華碩電腦股份有限公司,臺北市,D,46,12,26.1%
16,長榮航太科技股份有限公司,桃園縣,D,24,12,50.0%
17,華邦電子股份有限公司,臺中市,D,20,11,55.0%
18,台灣屈臣氏個人用品商店股份有限公司,臺北市,D,47,11,23.4%
19,中龍鋼鐵股份有限公司,臺中市,D,29,11,37.9%
20,主富服裝股份有限公司,臺北市,D,16,11,68.8%
21,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
22,臺灣新光商業銀行股份有限公司,臺北市,D,34,11,32.4%
23,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,35,10,28.6%
24,台塑石化股份有限公司,雲林縣,D,51,9,17.6%
25,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,12,9,75.0%
26,中華國際黃頁股份有限公司,臺北市,D,11,9,81.8%
27,台灣電氣硝子股份有限公司,臺中市,D,8,8,100.0%
28,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,8,17.0%
29,東方美企業股份有限公司,高雄市,D,10,8,80.0%
30,瀚宇彩晶股份有限公司,臺北市,D,23,8,34.8%
31,長榮海運股份有限公司,臺北市,D,12,7,58.3%
32,和碩聯合科技股份有限公司,臺北市,D,52,7,13.5%
33,上海商業儲蓄銀行股份有限公司,臺北市,D,22,7,31.8%
34,華資粧業股份有限公司,新北市,D,17,7,41.2%
35,香港商瑞健股份有限公司台灣分公司,桃園縣,D,16,7,43.8%
36,富士康國際股份有限公司,新北市,D,16,7,43.8%
37,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7,63.6%
38,遠東航空股份有限公司,臺北市,D,6,6,100.0%
39,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,6,60.0%
40,新日興股份有限公司,新北市,D,11,6,54.5%
41,敬鵬工業股份有限公司,桃園縣,D,38,6,15.8%
42,光寶科技股份有限公司,新北市,D,19,6,31.6%
43,台灣應用材料股份有限公司,新竹縣,D,9,6,66.7%
44,南亞電路板股份有限公司錦興廠,桃園縣,D,61,6,9.8%
45,介面光電股份有限公司,桃園縣,D,19,6,31.6%
46,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
47,聚成科技股份有限公司,新竹市,D,8,6,75.0%
48,台灣富士全錄股份有限公司,臺北市,D,9,6,66.7%
49,保誠人壽保險股份有限公司,臺北市,D,7,6,85.7%
50,研華股份有限公司,臺北市,D,22,6,27.3%
51,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,7,6,85.7%
52,微星科技股份有限公司,新北市,D,21,6,28.6%
53,釆盟股份有限公司,臺北市,D,12,6,50.0%
54,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
55,趨勢科技股份有限公司,臺北市,D,12,6,50.0%
56,藝珂人事顧問股份有限公司,臺北市,D,27,6,22.2%
57,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,6,100.0%
58,國泰醫療財團法人國泰綜合醫院,臺北市,D,38,6,15.8%
59,三信商業銀行股份有限公司,臺中市,D,11,6,54.5%
60,中華航空股份有限公司,桃園縣,D,64,5,7.8%
61,黛安芬國際股份有限公司,新北市,D,12,5,41.7%
62,欣興電子股份有限公司,桃園縣,D,93,5,5.4%
63,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
64,和鑫光電股份有限公司,臺南市,D,25,5,20.0%
65,台灣國際商業機器股份有限公司,臺北市,D,22,5,22.7%
66,京城商業銀行股份有限公司,臺南市,D,9,5,55.6%
67,太平洋崇光百貨股份有限公司,臺北市,D,10,5,50.0%
68,英屬維京群島商利時有限公司台灣分公司,臺北市,D,10,5,50.0%
69,香港商法華香水化粧品有限公司台灣分公司,臺北市,D,5,5,100.0%
70,三立電視股份有限公司,臺北市,D,12,5,41.7%
71,功學社山葉樂器股份有限公司,臺北市,D,6,5,83.3%
