序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,力晶科技股份有限公司,新竹市,D,42,32,76.2%
2,聯華電子股份有限公司,新竹市,D,123,29,23.6%
3,台灣積體電路製造股份有限公司,新竹市,D,333,28,8.4%
4,長榮航空股份有限公司,桃園縣,D,51,28,54.9%
5,南茂科技股份有限公司,新竹縣,D,45,24,53.3%
6,台灣麥當勞餐廳股份有限公司,臺北市,D,32,23,71.9%
7,力成科技股份有限公司,新竹縣,D,44,20,45.5%
8,隆達電子股份有限公司,新竹市,D,22,16,72.7%
9,渣打國際商業銀行股份有限公司,新竹市,D,41,16,39.0%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,台灣大哥大股份有限公司,臺北市,D,29,16,55.2%
12,長榮航太科技股份有限公司,桃園縣,D,24,14,58.3%
13,三商行股份有限公司,臺北市,D,35,14,40.0%
14,華碩電腦股份有限公司,臺北市,D,46,13,28.3%
15,元大商業銀行股份有限公司,臺北市,D,25,13,52.0%
16,遠東國際商業銀行股份有限公司,臺北市,D,25,13,52.0%
17,中龍鋼鐵股份有限公司,臺中市,D,29,12,41.4%
18,臺灣新光商業銀行股份有限公司,臺北市,D,35,12,34.3%
19,主富服裝股份有限公司,臺北市,D,16,11,68.8%
20,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
21,華邦電子股份有限公司,臺中市,D,19,10,52.6%
22,台塑石化股份有限公司,雲林縣,D,52,10,19.2%
23,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,9,19.1%
24,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,12,9,75.0%
25,萬寶華企業管理顧問股份有限公司,臺北市,D,26,9,34.6%
26,中華國際黃頁股份有限公司,臺北市,D,11,9,81.8%
27,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,34,9,26.5%
28,南亞電路板股份有限公司錦興廠,桃園縣,D,62,8,12.9%
29,和鑫光電股份有限公司,臺南市,D,29,8,27.6%
30,台灣電氣硝子股份有限公司,臺中市,D,8,8,100.0%
31,長榮海運股份有限公司,臺北市,D,12,7,58.3%
32,上海商業儲蓄銀行股份有限公司,臺北市,D,22,7,31.8%
33,東方美企業股份有限公司,高雄市,D,9,7,77.8%
34,華資粧業股份有限公司,新北市,D,17,7,41.2%
35,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,12,7,58.3%
36,瀚宇彩晶股份有限公司,臺北市,D,23,7,30.4%
37,香港商瑞健股份有限公司台灣分公司,桃園縣,D,16,7,43.8%
38,富士康國際股份有限公司,新北市,D,15,7,46.7%
39,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7,63.6%
40,遠東航空股份有限公司,臺北市,D,6,6,100.0%
41,中華航空股份有限公司,桃園縣,D,64,6,9.4%
42,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,6,60.0%
43,新日興股份有限公司,新北市,D,11,6,54.5%
44,敬鵬工業股份有限公司,桃園縣,D,38,6,15.8%
45,光寶科技股份有限公司,新北市,D,19,6,31.6%
46,台灣應用材料股份有限公司,新竹縣,D,9,6,66.7%
47,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,6,35.3%
48,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
49,和碩聯合科技股份有限公司,臺北市,D,52,6,11.5%
50,聚成科技股份有限公司,新竹市,D,8,6,75.0%
51,台灣富士全錄股份有限公司,臺北市,D,9,6,66.7%
52,保誠人壽保險股份有限公司,臺北市,D,7,6,85.7%
53,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,7,6,85.7%
54,台灣屈臣氏個人用品商店股份有限公司,臺北市,D,47,6,12.8%
55,趨勢科技股份有限公司,臺北市,D,12,6,50.0%
56,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,6,100.0%
57,國泰醫療財團法人國泰綜合醫院,臺北市,D,38,6,15.8%
58,三信商業銀行股份有限公司,臺中市,D,11,6,54.5%
59,黛安芬國際股份有限公司,新北市,D,12,5,41.7%
60,欣興電子股份有限公司,桃園縣,D,93,5,5.4%
61,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
62,瑞昱半導體股份有限公司,新竹縣,D,21,5,23.8%
63,介面光電股份有限公司,桃園縣,D,18,5,27.8%
