序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,329,45,13.7%
2,力晶科技股份有限公司,新竹市,D,43,33,76.7%
3,友達光電股份有限公司,新竹市,D,206,27,13.1%
4,長榮航空股份有限公司,桃園縣,D,49,26,53.1%
5,南茂科技股份有限公司,新竹縣,D,45,24,53.3%
6,台灣麥當勞餐廳股份有限公司,臺北市,D,32,23,71.9%
7,聯華電子股份有限公司,新竹市,D,123,22,17.9%
8,力成科技股份有限公司,新竹縣,D,45,19,42.2%
9,隆達電子股份有限公司,新竹市,D,22,16,72.7%
10,三商行股份有限公司,臺北市,D,35,16,45.7%
11,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
12,長榮航太科技股份有限公司,桃園縣,D,23,14,60.9%
13,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,35,14,40.0%
14,渣打國際商業銀行股份有限公司,新竹市,D,41,13,31.7%
15,元大商業銀行股份有限公司,臺北市,D,26,13,50.0%
16,遠東國際商業銀行股份有限公司,臺北市,D,25,13,52.0%
17,台灣大哥大股份有限公司,臺北市,D,28,13,46.4%
18,華碩電腦股份有限公司,臺北市,D,44,12,27.3%
19,中龍鋼鐵股份有限公司,臺中市,D,29,12,41.4%
20,主富服裝股份有限公司,臺北市,D,16,11,68.8%
21,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
22,臺灣新光商業銀行股份有限公司,臺北市,D,35,11,31.4%
23,華邦電子股份有限公司,臺中市,D,19,10,52.6%
24,花旗（台灣）商業銀行股份有限公司,臺北市,D,48,10,20.8%
25,南亞電路板股份有限公司錦興廠,桃園縣,D,62,9,14.5%
26,鉅晶電子股份有限公司,新竹市,D,14,9,64.3%
27,中華國際黃頁股份有限公司,臺北市,D,11,9,81.8%
28,敬鵬工業股份有限公司,桃園縣,D,39,8,20.5%
29,和鑫光電股份有限公司,臺南市,D,35,8,22.9%
30,東方美企業股份有限公司,高雄市,D,10,8,80.0%
31,華資粧業股份有限公司,新北市,D,18,8,44.4%
