序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,303,105,34.7%
2,友達光電股份有限公司,新竹市,D,194,67,34.5%
3,聯華電子股份有限公司,新竹市,D,119,50,42.0%
4,力晶科技股份有限公司,新竹市,D,42,33,78.6%
5,南茂科技股份有限公司,新竹縣,D,45,25,55.6%
6,力成科技股份有限公司,新竹縣,D,47,25,53.2%
7,長榮航空股份有限公司,桃園縣,D,46,24,52.2%
8,仁寶電腦工業股份有限公司,桃園縣,D,50,16,32.0%
9,花旗（台灣）商業銀行股份有限公司,臺北市,D,49,16,32.7%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,長榮航太科技股份有限公司,桃園縣,D,22,15,68.2%
12,三商行股份有限公司,臺北市,D,34,15,44.1%
13,台灣麥當勞餐廳股份有限公司,臺北市,D,23,14,60.9%
14,遠東國際商業銀行股份有限公司,臺北市,D,25,14,56.0%
15,中龍鋼鐵股份有限公司,臺中市,D,29,14,48.3%
16,元大商業銀行股份有限公司,臺北市,D,25,13,52.0%
17,華邦電子股份有限公司,臺中市,D,19,12,63.2%
18,南亞電路板股份有限公司錦興廠,桃園縣,D,62,12,19.4%
19,隆達電子股份有限公司,新竹市,D,22,12,54.5%
20,渣打國際商業銀行股份有限公司,新竹市,D,38,12,31.6%
21,台灣大哥大股份有限公司,臺北市,D,26,12,46.2%
22,瀚宇彩晶股份有限公司,臺北市,D,24,12,50.0%
23,萬寶華企業管理顧問股份有限公司,臺北市,D,25,11,44.0%
24,華碩電腦股份有限公司,臺北市,D,40,10,25.0%
25,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,10,58.8%
26,鉅晶電子股份有限公司,新竹市,D,14,10,71.4%
27,藝珂人事顧問股份有限公司,臺北市,D,28,10,35.7%
28,主富服裝股份有限公司,臺北市,D,14,10,71.4%
29,星展〈台灣〉商業銀行股份有限公司,臺北市,D,13,10,76.9%
30,勤業眾信聯合會計師事務所（黃樹傑會計師）,臺北市,D,32,10,31.3%
31,華資粧業股份有限公司,新北市,D,18,9,50.0%
32,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
33,臺灣新光商業銀行股份有限公司,臺北市,D,34,9,26.5%
34,台塑石化股份有限公司,雲林縣,D,49,8,16.3%
35,東方美企業股份有限公司,高雄市,D,10,8,80.0%
36,玉山商業銀行股份有限公司,臺北市,D,20,8,40.0%
37,遠雄人壽保險事業股份有限公司,臺北市,D,12,8,66.7%
38,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
39,上海商業儲蓄銀行股份有限公司,臺北市,D,23,7,30.4%
40,研華股份有限公司,臺北市,D,20,7,35.0%
41,微星科技股份有限公司,新北市,D,20,7,35.0%
42,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7,63.6%
43,新竹物流股份有限公司,新竹縣,D,29,6,20.7%
44,台灣玻璃工業股份有限公司新竹廠,新竹市,D,10,6,60.0%
45,台灣華歌爾股份有限公司,桃園縣,D,24,6,25.0%
46,長榮海運股份有限公司,臺北市,D,12,6,50.0%
47,台灣應用材料股份有限公司,新竹縣,D,7,6,85.7%
48,南亞科技股份有限公司錦興廠,桃園縣,D,16,6,37.5%
49,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
50,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
51,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
52,趨勢科技股份有限公司,臺北市,D,11,6,54.5%
53,美商怡佳股份有限公司台灣分公司,臺北市,D,9,6,66.7%
54,台灣高速鐵路股份有限公司,臺北市,D,32,6,18.8%
55,璨圓光電股份有限公司,桃園縣,D,9,6,66.7%
56,泰金寶電通股份有限公司,臺北市,D,9,6,66.7%
57,富士康國際股份有限公司,新北市,D,15,6,40.0%
58,香港商雅虎資訊股份有限公司台灣分公司,臺北市,D,10,6,60.0%
59,台灣優衣庫有限公司,新北市,D,16,6,37.5%
60,長庚醫療財團法人高雄長庚紀念醫院,高雄市,D,50,6,12.0%
61,中華航空股份有限公司,桃園縣,D,63,5,7.9%
62,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
63,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,5,50.0%
64,敬鵬工業股份有限公司,桃園縣,D,37,5,13.5%
65,明基材料股份有限公司,桃園縣,D,11,5,45.5%
66,介面光電股份有限公司,桃園縣,D,22,5,22.7%
67,聚成科技股份有限公司,新竹市,D,7,5,71.4%
68,台灣富士全錄股份有限公司,臺北市,D,9,5,55.6%
69,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,6,5,83.3%
70,釆盟股份有限公司,臺北市,D,11,5,45.5%
71,英屬維京群島商漢登企業有限公司台灣分公司,臺北市,D,10,5,50.0%
72,香港商法華香水化粧品有限公司台灣分公司,臺北市,D,5,5,100.0%
73,達鴻先進科技股份有限公司,新竹縣,D,9,5,55.6%
74,英屬維京群島商銀鯨股份有限公司台灣分公司,臺北市,D,7,5,71.4%
75,香港商瑞健股份有限公司台灣分公司,桃園縣,D,13,5,38.5%
76,新加坡商安富利股份有限公司台灣分公司,臺北市,D,6,5,83.3%
77,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,5,83.3%
78,新世紀光電股份有限公司,臺南市,D,9,5,55.6%
79,三信商業銀行股份有限公司,臺中市,D,11,5,45.5%
80,輝瑞大藥廠股份有限公司,新北市,D,4,4,100.0%
81,永信藥品工業股份有限公司,臺中市,D,12,4,33.3%
82,東台精機股份有限公司,高雄市,D,7,4,57.1%
83,新日興股份有限公司,新北市,D,9,4,44.4%
84,光寶科技股份有限公司,新北市,D,18,4,22.2%
85,致茂電子股份有限公司,桃園縣,D,12,4,33.3%
86,矽統科技股份有限公司,新竹縣,D,6,4,66.7%
87,台灣必成股份有限公司,嘉義縣,D,8,4,50.0%
88,台達電子工業股份有限公司台南分公司,臺南市,D,5,4,80.0%
89,索爾思光電股份有限公司,新竹縣,D,4,4,100.0%
90,궏碁科技股份有限公司,新竹縣,D,20,4,20.0%
91,昱晶能源科技股份有限公司,苗栗縣,D,7,4,57.1%
92,台灣順豐速運有限公司,臺北市,D,6,4,66.7%
93,昱晶能源科技股份有限公司台北分公司,臺北市,D,7,4,57.1%
94,景智電子股份有限公司,桃園縣,D,5,4,80.0%
95,南亞電路板股份有限公司樹林廠,新北市,D,8,4,50.0%
96,保誠人壽保險股份有限公司,臺北市,D,6,4,66.7%
97,宏碁股份有限公司,臺北市,D,21,4,19.0%
98,長榮國際股份有限公司,臺北市,D,14,4,28.6%
