序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,友達光電股份有限公司,新竹市,D,205,69,33.7%
2,台灣積體電路製造股份有限公司,新竹市,D,325,51,15.7%
3,聯華電子股份有限公司,新竹市,D,122,34,27.9%
4,力晶科技股份有限公司,新竹市,D,42,32,76.2%
5,長榮航空股份有限公司,桃園縣,D,49,29,59.2%
6,南茂科技股份有限公司,新竹縣,D,44,23,52.3%
7,力成科技股份有限公司,新竹縣,D,46,22,47.8%
8,台灣麥當勞餐廳股份有限公司,臺北市,D,27,21,77.8%
9,隆達電子股份有限公司,新竹市,D,23,17,73.9%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,長榮航太科技股份有限公司,桃園縣,D,23,14,60.9%
12,渣打國際商業銀行股份有限公司,新竹市,D,41,14,34.1%
13,三商行股份有限公司,臺北市,D,37,14,37.8%
14,台灣大哥大股份有限公司,臺北市,D,27,14,51.9%
15,元大商業銀行股份有限公司,臺北市,D,26,13,50.0%
16,中龍鋼鐵股份有限公司,臺中市,D,29,13,44.8%
17,臺灣新光商業銀行股份有限公司,臺北市,D,35,13,37.1%
18,華邦電子股份有限公司,臺中市,D,19,12,63.2%
19,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,12,25.5%
20,遠東國際商業銀行股份有限公司,臺北市,D,25,12,48.0%
21,萬寶華企業管理顧問股份有限公司,臺北市,D,28,11,39.3%
22,主富服裝股份有限公司,臺北市,D,15,11,73.3%
23,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
24,玉山商業銀行股份有限公司,臺北市,D,24,10,41.7%
25,華碩電腦股份有限公司,臺北市,D,42,9,21.4%
26,南亞電路板股份有限公司錦興廠,桃園縣,D,62,9,14.5%
27,鉅晶電子股份有限公司,新竹市,D,14,9,64.3%
28,研華股份有限公司,臺北市,D,21,9,42.9%
29,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,33,9,27.3%
30,東方美企業股份有限公司,高雄市,D,10,8,80.0%
31,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,8,72.7%
32,敬鵬工業股份有限公司,桃園縣,D,39,7,17.9%
33,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
34,華資粧業股份有限公司,新北市,D,17,7,41.2%
35,微星科技股份有限公司,新北市,D,20,7,35.0%
36,趨勢科技股份有限公司,臺北市,D,12,7,58.3%
37,瀚宇彩晶股份有限公司,臺北市,D,23,7,30.4%
38,富士康國際股份有限公司,新北市,D,15,7,46.7%
39,中華國際黃頁股份有限公司,臺北市,D,9,7,77.8%
40,台達電子工業股份有限公司,桃園縣,D,20,6,30.0%
41,長榮海運股份有限公司,臺北市,D,12,6,50.0%
42,新日興股份有限公司,新北市,D,11,6,54.5%
43,光寶科技股份有限公司,新北市,D,19,6,31.6%
44,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,6,35.3%
45,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
46,聚成科技股份有限公司,新竹市,D,8,6,75.0%
47,台灣富士全錄股份有限公司,臺北市,D,9,6,66.7%
48,上海商業儲蓄銀行股份有限公司,臺北市,D,22,6,27.3%
49,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
50,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
51,英屬維京群島商利時有限公司台灣分公司,臺北市,D,11,6,54.5%
52,達鴻先進科技股份有限公司,新竹縣,D,10,6,60.0%
53,藝珂人事顧問股份有限公司,臺北市,D,29,6,20.7%
54,台灣人壽保險股份有限公司高雄分公司,高雄市,D,6,6,100.0%
55,英屬維京群島商銀鯨股份有限公司台灣分公司,臺北市,D,7,6,85.7%
56,三信商業銀行股份有限公司,臺中市,D,11,6,54.5%
57,中華航空股份有限公司,桃園縣,D,63,5,7.9%
58,潤泰全球股份有限公司,臺北市,D,12,5,41.7%
59,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
60,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
61,台灣應用材料股份有限公司,新竹縣,D,7,5,71.4%
62,華亞科技股份有限公司,桃園縣,D,35,5,14.3%
63,聯景光電股份有限公司,桃園縣,D,11,5,45.5%
64,保誠人壽保險股份有限公司,臺北市,D,7,5,71.4%
65,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,7,5,71.4%
66,太平洋崇光百貨股份有限公司,臺北市,D,10,5,50.0%
67,釆盟股份有限公司,臺北市,D,11,5,45.5%
68,香港商法華香水化粧品有限公司台灣分公司,臺北市,D,5,5,100.0%
69,遠雄人壽保險事業股份有限公司,臺北市,D,13,5,38.5%
70,功學社山葉樂器股份有限公司,臺北市,D,6,5,83.3%
71,台灣高速鐵路股份有限公司,臺北市,D,32,5,15.6%
72,香港商瑞健股份有限公司台灣分公司,桃園縣,D,14,5,35.7%
73,璨圓光電股份有限公司,桃園縣,D,8,5,62.5%
74,新加坡商安富利股份有限公司台灣分公司,臺北市,D,6,5,83.3%
75,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,5,83.3%
76,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,5,45.5%
77,遠東航空股份有限公司,臺北市,D,5,4,80.0%
78,輝瑞大藥廠股份有限公司,新北市,D,4,4,100.0%
79,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,4,40.0%
