序號,投保單位名稱,縣市別,機關性質,法定人數不足人數不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,312,88,28.2%
2,友達光電股份有限公司,新竹市,D,197,72,36.5%
3,聯華電子股份有限公司,新竹市,D,120,40,33.3%
4,力晶科技股份有限公司,新竹市,D,42,32,76.2%
5,長榮航空股份有限公司,桃園縣,D,46,25,54.3%
6,南茂科技股份有限公司,新竹縣,D,45,24,53.3%
7,力成科技股份有限公司,新竹縣,D,45,24,53.3%
8,台灣麥當勞餐廳股份有限公司,臺北市,D,25,18,72.0%
9,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
10,長榮航太科技股份有限公司,桃園縣,D,22,14,63.6%
11,隆達電子股份有限公司,新竹市,D,22,14,63.6%
12,台灣大哥大股份有限公司,臺北市,D,27,14,51.9%
13,元大商業銀行股份有限公司,臺北市,D,25,13,52.0%
14,中龍鋼鐵股份有限公司,臺中市,D,29,13,44.8%
15,華邦電子股份有限公司,臺中市,D,19,12,63.2%
16,遠東國際商業銀行股份有限公司,臺北市,D,25,12,48.0%
17,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,11,23.4%
18,渣打國際商業銀行股份有限公司,新竹市,D,38,11,28.9%
19,臺灣新光商業銀行股份有限公司,臺北市,D,33,11,33.3%
20,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,10,58.8%
21,鉅晶電子股份有限公司,新竹市,D,14,10,71.4%
22,三商行股份有限公司,臺北市,D,34,10,29.4%
23,主富服裝股份有限公司,臺北市,D,14,10,71.4%
24,星展（台灣）商業銀行股份有限公司,臺北市,D,13,10,76.9%
25,研華股份有限公司,臺北市,D,20,9,45.0%
26,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
27,瀚宇彩晶股份有限公司,臺北市,D,24,9,37.5%
28,華碩電腦股份有限公司,臺北市,D,41,8,19.5%
29,微星科技股份有限公司,新北市,D,20,8,40.0%
30,玉山商業銀行股份有限公司,臺北市,D,21,8,38.1%
31,藝珂人事顧問股份有限公司,臺北市,D,27,8,29.6%
32,萬寶華企業管理顧問股份有限公司,臺北市,D,26,8,30.8%
33,南亞電路板股份有限公司錦興廠,桃園縣,D,62,7,11.3%
34,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
35,和碩聯合科技股份有限公司,臺北市,D,51,7,13.7%
36,東方美企業股份有限公司,高雄市,D,9,7,77.8%
37,華資粧業股份有限公司,新北市,D,17,7,41.2%
38,台灣優衣庫有限公司,新北市,D,15,7,46.7%
39,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7,63.6%
40,台灣玻璃工業股份有限公司新竹廠,新竹市,D,10,6,60.0%
41,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
42,上海商業儲蓄銀行股份有限公司,臺北市,D,22,6,27.3%
43,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
44,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
45,趨勢科技股份有限公司,臺北市,D,11,6,54.5%
46,台灣高速鐵路股份有限公司,臺北市,D,32,6,18.8%
47,香港商瑞健股份有限公司台灣分公司,桃園縣,D,14,6,42.9%
48,璨圓光電股份有限公司,桃園縣,D,9,6,66.7%
49,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,6,100.0%
50,富士康國際股份有限公司,新北市,D,15,6,40.0%
51,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
52,台灣華歌爾股份有限公司,桃園縣,D,24,5,20.8%
53,長榮海運股份有限公司,臺北市,D,12,5,41.7%
54,新日興股份有限公司,新北市,D,10,5,50.0%
55,光寶科技股份有限公司,新北市,D,18,5,27.8%
56,台塑石化股份有限公司,雲林縣,D,50,5,10.0%
57,台灣應用材料股份有限公司,新竹縣,D,7,5,71.4%
58,昱晶能源科技股份有限公司台北分公司,臺北市,D,7,5,71.4%
