序號,投保單位名稱,縣市別,機關性質,法定人數不足人數不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,307,87,28.3%
2,友達光電股份有限公司,新竹市,D,195,66,33.8%
3,聯華電子股份有限公司,新竹市,D,119,48,40.3%
4,力晶科技股份有限公司,新竹市,D,42,33,78.6%
5,長榮航空股份有限公司,桃園縣,D,46,25,54.3%
6,南茂科技股份有限公司,新竹縣,D,45,25,55.6%
7,力成科技股份有限公司,新竹縣,D,46,25,54.3%
8,台灣麥當勞餐廳股份有限公司,臺北市,D,24,17,70.8%
9,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
10,長榮航太科技股份有限公司,桃園縣,D,22,15,68.2%
11,隆達電子股份有限公司,新竹市,D,22,14,63.6%
12,遠東國際商業銀行股份有限公司,臺北市,D,25,14,56.0%
13,中龍鋼鐵股份有限公司,臺中市,D,29,14,48.3%
14,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,13,27.7%
15,元大商業銀行股份有限公司,臺北市,D,25,13,52.0%
16,台灣大哥大股份有限公司,臺北市,D,27,13,48.1%
17,華邦電子股份有限公司,臺中市,D,19,12,63.2%
18,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,10,58.8%
19,鉅晶電子股份有限公司,新竹市,D,14,10,71.4%
20,渣打國際商業銀行股份有限公司,新竹市,D,37,10,27.0%
21,瀚宇彩晶股份有限公司,臺北市,D,24,10,41.7%
22,星展（台灣）商業銀行股份有限公司,臺北市,D,13,10,76.9%
23,臺灣新光商業銀行股份有限公司,臺北市,D,33,10,30.3%
24,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
25,主富服裝股份有限公司,臺北市,D,14,9,64.3%
26,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,31,9,29.0%
27,華碩電腦股份有限公司,臺北市,D,40,8,20.0%
28,台塑石化股份有限公司,雲林縣,D,49,8,16.3%
29,東方美企業股份有限公司,高雄市,D,10,8,80.0%
30,華資粧業股份有限公司,新北市,D,18,8,44.4%
31,台灣屈臣氏個人用品商店股份有限公司,臺北市,D,49,8,16.3%
32,遠雄人壽保險事業股份有限公司,臺北市,D,13,8,61.5%
33,藝珂人事顧問股份有限公司,臺北市,D,27,8,29.6%
34,萬寶華企業管理顧問股份有限公司,臺北市,D,25,8,32.0%
35,南亞電路板股份有限公司錦興廠,桃園縣,D,62,7,11.3%
36,台灣電氣硝子股份有限公司,臺中市,D,8,7,87.5%
37,研華股份有限公司,臺北市,D,20,7,35.0%
38,微星科技股份有限公司,新北市,D,20,7,35.0%
39,玉山商業銀行股份有限公司,臺北市,D,20,7,35.0%
40,台灣優衣庫有限公司,新北市,D,16,7,43.8%
41,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7,63.6%
42,台灣玻璃工業股份有限公司新竹廠,新竹市,D,10,6,60.0%
43,台灣華歌爾股份有限公司,桃園縣,D,24,6,25.0%
44,台灣應用材料股份有限公司,新竹縣,D,7,6,85.7%
45,南亞科技股份有限公司錦興廠,桃園縣,D,16,6,37.5%
46,奇美材料科技股份有限公司,臺南市,D,11,6,54.5%
47,上海商業儲蓄銀行股份有限公司,臺北市,D,22,6,27.3%
48,京城商業銀行股份有限公司,臺南市,D,9,6,66.7%
49,三商行股份有限公司,臺北市,D,33,6,18.2%
50,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,11,6,54.5%
51,趨勢科技股份有限公司,臺北市,D,11,6,54.5%
52,美商怡佳股份有限公司台灣分公司,臺北市,D,9,6,66.7%
53,台灣高速鐵路股份有限公司,臺北市,D,32,6,18.8%
54,璨圓光電股份有限公司,桃園縣,D,9,6,66.7%
55,泰金寶電通股份有限公司,臺北市,D,9,6,66.7%
56,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,6,100.0%
57,富士康國際股份有限公司,新北市,D,15,6,40.0%
58,黛安芬國際股份有限公司,新北市,D,13,5,38.5%
59,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,5,50.0%
60,長榮海運股份有限公司,臺北市,D,12,5,41.7%
61,光寶科技股份有限公司,新北市,D,18,5,27.8%
62,明基材料股份有限公司,桃園縣,D,11,5,45.5%
63,台灣富士全錄股份有限公司,臺北市,D,9,5,55.6%
64,美商英特爾亞太科技有限公司台灣分公司,臺北市,D,6,5,83.3%
65,釆盟股份有限公司,臺北市,D,11,5,45.5%
66,英屬維京群島商漢登企業有限公司台灣分公司,臺北市,D,10,5,50.0%
67,國泰世紀產物保險股份有限公司,臺北市,D,17,5,29.4%
68,達鴻先進科技股份有限公司,新竹縣,D,9,5,55.6%
69,功學社山葉樂器股份有限公司,臺北市,D,6,5,83.3%
70,英屬維京群島商銀鯨股份有限公司台灣分公司,臺北市,D,7,5,71.4%
71,香港商瑞健股份有限公司台灣分公司,桃園縣,D,13,5,38.5%
72,新加坡商安富利股份有限公司台灣分公司,臺北市,D,6,5,83.3%
73,新世紀光電股份有限公司,臺南市,D,10,5,50.0%
74,三信商業銀行股份有限公司,臺中市,D,11,5,45.5%
75,新竹物流股份有限公司,新竹縣,D,29,4,13.8%
76,遠東航空股份有限公司,臺北市,D,5,4,80.0%
77,中華航空股份有限公司,桃園縣,D,63,4,6.3%
78,輝瑞大藥廠股份有限公司,新北市,D,4,4,100.0%
79,臺灣華可貴股份有限公司,桃園縣,D,17,4,23.5%
80,東台精機股份有限公司,高雄市,D,7,4,57.1%
