序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,302,105,34.8%
2,友達光電股份有限公司,新竹市,D,192,71,37.0%
3,聯華電子股份有限公司,新竹市,D,118,59,50.0%
4,力晶科技股份有限公司,新竹市,D,42,33,78.6%
5,南茂科技股份有限公司,新竹縣,D,45,25,55.6%
6,力成科技股份有限公司,新竹縣,D,47,25,53.2%
7,長榮航空股份有限公司,桃園縣,D,46,24,52.2%
8,花旗（台灣）商業銀行股份有限公司,臺北市,D,48,18,37.5%
9,仁寶電腦工業股份有限公司,桃園縣,D,50,16,32.0%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,長榮航太科技股份有限公司,桃園縣,D,22,15,68.2%
12,遠東國際商業銀行股份有限公司,臺北市,D,25,14,56.0%
13,華邦電子股份有限公司,臺中市,D,19,13,68.4%
14,台灣麥當勞餐廳股份有限公司,臺北市,D,22,12,54.5%
15,渣打國際商業銀行股份有限公司,新竹市,D,38,12,31.6%
16,中龍鋼鐵股份有限公司,臺中市,D,29,12,41.4%
17,台灣大哥大股份有限公司,臺北市,D,26,12,46.2%
18,隆達電子股份有限公司,新竹市,D,22,11,50.0%
19,元大商業銀行股份有限公司,臺北市,D,25,11,44.0%
20,瀚宇彩晶股份有限公司,臺北市,D,25,11,44.0%
21,臺灣新光商業銀行股份有限公司,臺北市,D,34,11,32.4%
22,華碩電腦股份有限公司,臺北市,D,40,10,25.0%
23,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,10,58.8%
24,鉅晶電子股份有限公司,新竹市,D,14,10,71.4%
25,主富服裝股份有限公司,臺北市,D,14,10,71.4%
26,星展〈台灣〉商業銀行股份有限公司,臺北市,D,13,10,76.9%
27,勤業眾信聯合會計師事務所（黃樹傑會計師）,臺北市,D,32,10,31.3%
28,研華股份有限公司,臺北市,D,20,9,45.0%
29,華資粧業股份有限公司,新北市,D,18,9,50.0%
30,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9,81.8%
31,遠雄人壽保險事業股份有限公司,臺北市,D,13,9,69.2%
32,藝珂人事顧問股份有限公司,臺北市,D,27,9,33.3%
33,台塑石化股份有限公司,雲林縣,D,49,8,16.3%
34,南亞電路板股份有限公司錦興廠,桃園縣,D,62,8,12.9%
35,三商行股份有限公司,臺北市,D,33,8,24.2%
36,玉山商業銀行股份有限公司,臺北市,D,20,8,40.0%
