事業單位名稱,違反法令條款,處分書文號,處分日期,備註
全方位人力資源有限公司,勞動基準法第 32 條 第 2 項,1010119670,101.05.16,人力派遣專案檢查
全宏人力資源管理有限公司,勞動基準法第 30 條 第 1 項,1010149502,101.06.15,人力派遣專案檢查
宇田開發有限公司,勞動基準法第 32 條 第 2 項,1010133713,101.06.08,同一法條違反兩次
佳世達科技股份有限公司,勞動基準法第 32 條 第 2 項,1010145816,101.06.15,同一法條違反兩次
日翔軟板科技股份有限公司,勞動基準法第 36 條,1010143110,101.06.11,同一法條違反兩次
宏達國際電子股份有限公司,勞動基準法第 32 條 第 2 項,1010153455,101.06.27,同一法條違反兩次
倍斯特人力仲介股份有限公司,勞動基準法第 30 條 第 5 項,1010126574,101.05.23,人力派遣專案檢查
鴻景人力派遣股份有限公司,勞動基準法第 32 條 第 2 項,1010123284,101.05.21,人力派遣專案檢查
寶紘盛有限公司,勞動基準法第 32 條 第 2 項,1010137979,101.06.05,人力派遣專案檢查
享東企業有限公司,勞動基準法第 30 條 第 1 項,1010142498,101.06.08,人力派遣專案檢查
統一速達股份有限公司,勞動基準法第 32 條 第 2 項、 第 24 條,10101528821 1010152882,101.06.22, 儲配運輸物流與汽車貨運業專案檢查(行政院勞工委員會北檢所專案檢查)
佰事達物流股份有限公司,勞基法 第 024 條,1010125961,101.05.23,儲配運輸物流與汽車貨運業專案檢查(行政院勞工委員會北檢所專案檢查)
東源物流事業股份有限公司,勞基法 第 024 條、 第 030 條 第 1 項、 第 030 條 第 5 項,1010150152 10101501521 10101501522,101.06.19,儲配運輸物流與汽車貨運業專案檢查(行政院勞工委員會北檢所專案檢查)
