事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
士邦科技有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020225549號,102/09/12,
士邦科技有限公司,勞基法第23條第1項,工資未定期給付勞工,102年府勞檢字10202255492號,102/09/12,
士邦科技有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字10202255491號,102/09/12,
日月光半導體製造股份有限公司中壢分公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202345551號,102/09/24,
日月光半導體製造股份有限公司中壢分公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020234555號,102/09/24,
巧瑩科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020236735號,102/09/25,
巧瑩科技股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202367351號,102/09/26,
巧瑩科技股份有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,102年府勞檢字1020235231號,102/09/24,
立盟人力派遣有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202328181號,102/09/23,
立盟人力派遣有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020232818號,102/09/23,
立盟人力派遣有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,102年府勞檢字10202328182號,102/09/23,
吳淑暖(即桃園縣私立康益長期照顧中心),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020219345號,102/09/09,專案檢查
吳淑暖(即桃園縣私立康益長期照顧中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202193451號,102/09/09,
佳總興業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020235332號,102/09/27,
佳總興業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202353321號,102/09/27,
周東耀(即桃園縣私立家悅養護中心),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020219460號,102/09/09,專案檢查
周東耀(即桃園縣私立家悅養護中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202194601號,102/09/09,
欣利佳股份有限公司),勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020239440號,102/09/30,
邱創權(即桃園縣私立長安養護中心),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020227242號,102/09/14,專案檢查
金像電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020230832號,102/09/17,
長庚醫療財團法人林口長庚紀念醫院,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020221432號,102/09/09,
長庚醫療財團法人林口長庚紀念醫院,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202214321號,102/09/09,
長庚醫療財團法人林口長庚紀念醫院,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字10202214322號,102/09/09,
長榮航太科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020226157號,102/09/12,
桃園縣私立台大老人養護中心,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020233636號,102/09/24,專案檢查
桃園縣私立逸園長期照顧中心（養護型）,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020233700號,102/09/24,專案檢查
桃園縣私立逸園長期照顧中心（養護型）,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202337001號,102/09/24,
神腦國際企業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020231885號,102/09/17,
神腦國際企業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020243394號,102/10/02,
翁廷升(即桃園縣私立慈航養護長期照護中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020226182號,102/09/12,專案檢查
財團法人桃園縣私立國宏老人養護中心,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020230887號,102/09/18,專案檢查
財團法人桃園縣私立國宏老人養護中心,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202308871號,102/09/18,
健策精密工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020239092號,102/09/27,
國睿股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020219798號,102/09/05,
第一美卡事業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020239102號,102/09/27,
第一美卡事業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202391021號,102/09/27,
許亨任君(即桃園縣私立真愛老人長期照顧中心),勞基法第21條第1項,未達基本工資,102年府勞檢字1020220737號,102/09/09,
許亨任君(即桃園縣私立真愛老人長期照顧中心),勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202207371號,102/09/09,
許亨任君(即桃園縣私立真愛老人長期照顧中心),勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202207372號,102/09/09,
許亨任君(即桃園縣私立真愛老人長期照顧中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202207373號,102/09/09,
麥樹妹(即桃園縣私立佳心安養護中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020223508號,102/09/10,專案檢查
惠康百貨股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020226077號,102/09/13,
惠康百貨股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020229813號,102/09/16,
惠康百貨股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202298131號,102/09/16,
景碩科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202334721號,102/09/24,
景碩科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020234560號,102/09/24,
曾國銘(及桃園縣私立同安長期照顧中心-養護型),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020227030號,102/09/14,專案檢查
游宗益（即大有人力工作室）,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202253673號,102/09/13,
游宗益（即大有人力工作室）,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020225367號,102/09/12,
游宗益（即大有人力工作室）,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202253671號,102/09/13,
游宗益（即大有人力工作室）,勞基法第70條,工作規則未依規定報備並公告揭示,102年府勞檢字10202253672號,102/09/13,
黃日華(即桃園縣私立祥安安養護中心),勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020229777號,102/09/16,專案檢查
新亞銂股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020228528號,102/09/14,
新亞銂股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202282581號,102/09/14,
新亞銂股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202285282號,102/09/14,
萬洲化學股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020223144號,102/09/11,
萬洲化學股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020252896號,102/10/16,
萬洲化學股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202528961號,102/10/16,
葉倫銀(即私立臺大文理短期補習班),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020225304號,102/09/12,
褚美珍君（即桃園縣私立慈安老人養護中心）,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字10202233091號,102/09/10,專案檢查
褚美珍君（即桃園縣私立慈安老人養護中心）,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020223309號,102/09/10,
誼光保全股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020228473號,102/09/14,
聯致科技股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020239501號,102/09/30,
鴻佰科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020226859號,102/09/12,
山立通運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020260895號,102/10/23,
北健有線電視股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020257581號,102/10/29,
位速科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020250029號,102/10/14,
金運科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020267552號,102/10/30,
長榮空廚股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020238894號,102/10/03,
長榮國際儲運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020265259號,102/10/29,
美商聯邦快遞股份有限公司台灣分公司,勞基法第32條第1項,延長工作時間不符法定要件,102年府勞檢字1020256198號,102/10/21,
凌巨科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020268319號,102/10/30,
國光汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020263193號,102/10/28,
國興保全股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020266266號,102/10/29,
國興保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202662661號,102/10/29,
勤讚保全股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020266751號,102/10/30,
勤讚保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202667511號,102/10/30,
敬鵬工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020265030號,102/10/29,
敬鵬工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202650301號,102/10/29,
聯茂電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020249920號,102/10/18,
聯興包裝有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020267447號,102/10/30,
聯興包裝有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202674471號,102/10/30,
聯興包裝有限公司,勞基法第32條第1項,延長工作時間不符法定要件,102年府勞檢字10202674472號,102/10/30,
聯興包裝有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,102年府勞檢字10202674473號,102/10/30,
壢昌企業股份有限公司,勞基法第30條第5項,未依規定備置勞工出勤紀錄表,102年府勞檢字1020252958號,102/10/15,
壢昌企業股份有限公司,勞基法第38條,未依規定給予特別休假,102年府勞檢字1020252804號,102/10/15,
壢昌企業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字10202529581號,102/10/15,
櫳騏物業管理顧問有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020256323號,102/10/18,
鴻盛飲料店,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020133638號,102/05/31,
鴻盛飲料店,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10201336381號,102/05/31,
鴻盛飲料店,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10201336382號,102/05/31,
台灣省私立八德殘障教養院,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020124125號,102/05/22,專案檢查
中華郵政股份有限公司桃園郵局,勞基法第30條第5項,未依規定備置勞工出勤紀錄表,102年府勞檢字1020074400號,102/04/03,
